"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4489","User logout test @master @regression","chromium","2026-04-23","passed","2026-04-23","","Logout.spec.ts","",""
"","14231","execute end-to-end test flow @end-to-end","chromium","2026-04-23","passed","2026-04-23","","EndToEndTest.spec.ts","",""
"","1648","Login Test with JSON Data: Invalid login @datadriven","chromium","2026-04-22","passed","2026-04-22","","LoginDataDriven.spec.ts","",""
"","3179","User login test @master @sanity @regression","chromium","2026-04-27","passed","2026-04-27","","Login.spec.ts","",""
"","2031","Product search test @master @regression","chromium","2026-04-23","passed","2026-04-23","","SearchProduct.spec.ts","",""
"","2893","Add product to cart test @master @regression","chromium","2026-04-23","passed","2026-04-23","","AddToCart.spec.ts","",""
"","1793","Login Test with JSON Data: Valid login @datadriven","chromium","2026-04-22","passed","2026-04-22","","LoginDataDriven.spec.ts","",""
"","1720","Login Test with CSV Data: Invalid login @datadriven","chromium","2026-04-22","passed","2026-04-22","","LoginDataDriven.spec.ts","",""
"","1653","Login Test with CSV Data: Valid login @datadriven","chromium","2026-04-22","passed","2026-04-22","","LoginDataDriven.spec.ts","",""
"","9616","User registration test @master @sanity @regression","chromium","2026-04-27","passed","2026-04-27","","AccountRegistration.spec.ts","",""
